fid	decid	est_vp_psnr	phi	theta	est_phi_1	est_theta_1	err_1	est_phi_2	est_theta_2	err_2
0	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
1	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
2	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
3	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
4	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
5	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
6	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
7	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
8	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
9	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
10	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
11	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
12	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
13	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
14	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
15	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
16	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
17	0	32.54	-51	-4	0	0	0.00	0	0	0.00	
18	0	32.56	-51	-5	0	0	0.00	0	0	0.00	
19	0	32.56	-51	-5	0	0	0.00	0	0	0.00	
20	0	32.56	-51	-5	0	0	0.00	0	0	0.00	
21	0	32.56	-51	-5	0	0	0.00	0	0	0.00	
22	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
23	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
24	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
25	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
26	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
27	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
28	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
29	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
30	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
31	0	32.52	-52	-5	0	0	0.00	0	0	0.00	
32	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
33	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
34	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
35	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
36	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
37	1	43.66	-52	-5	-51	-4	1.41	-51	-4	1.41	
38	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
39	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
40	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
41	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
42	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
43	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
44	1	43.69	-51	-5	-51	-4	1.00	-51	-4	1.00	
45	1	43.68	-51	-4	-51	-4	0.00	-51	-4	0.00	
46	1	43.68	-51	-4	-51	-4	0.00	-51	-4	0.00	
47	1	43.70	-50	-4	-51	-4	1.00	-51	-4	1.00	
